,,,"Table 6.  Accidents, Fatalities, and Rates, 1995 through 2014,",,,,,,,,,,,
,,,"for U.S. Air Carriers Operating Under 14 CFR 121, Scheduled Service (Airlines)",,,,,,,,,,,
,,,,,,,,,,,,,,
,,Accidents,,Fatalities,,,,," Accidents 
per 100,000 
Flight Hours ",," Accidents 
per 1,000,000 
Miles Flown ",," Accidents  per 100,000  Departures ",
 Year ,, All , Fatal , Total , Aboard , Flight Hours , Miles Flown , Departures , All , Fatal , All , Fatal , All , Fatal 
1983,,22,4,15,14," 6,914,969 "," 2,920,909,000 "," 5,235,262 ", 0.318 , 0.058 , 0.0075 , 0.0014 , 0.420 , 0.076 
1984,,13,1,4,4," 7,736,037 "," 3,258,910,000 "," 5,666,076 ", 0.168 , 0.013 , 0.0040 , 0.0003 , 0.229 , 0.018 
1985,,17,4,197,196," 8,265,332 "," 3,452,753,000 "," 6,068,893 ", 0.206 , 0.048 , 0.0049 , 0.0012 , 0.280 , 0.066 
1986,*,21,2,5,4," 9,495,158 "," 3,829,129,000 "," 6,928,103 ", 0.211 , 0.011 , 0.0052 , 0.0003 , 0.289 , 0.014 
1987,*,32,4,231,229," 10,115,407 "," 4,125,874,000 "," 7,293,025 ", 0.306 , 0.030 , 0.0075 , 0.0007 , 0.425 , 0.041 
1988,*,27,3,285,274," 10,521,052 "," 4,260,785,000 "," 7,347,575 ", 0.247 , 0.019 , 0.0061 , 0.0005 , 0.354 , 0.027 
1989,,20,5,124,123," 10,597,922 "," 4,337,234,000 "," 7,267,341 ", 0.189 , 0.047 , 0.0046 , 0.0012 , 0.275 , 0.069 
1990,,19,4,11,9," 11,524,726 "," 4,689,287,000 "," 7,795,761 ", 0.165 , 0.035 , 0.0041 , 0.0009 , 0.244 , 0.051 
1991,,21,3,60,47," 11,139,166 "," 4,558,537,000 "," 7,503,873 ", 0.189 , 0.027 , 0.0046 , 0.0007 , 0.280 , 0.040 
1992,,15,3,29,27," 11,732,026 "," 4,767,344,000 "," 7,515,373 ", 0.128 , 0.026 , 0.0031 , 0.0006 , 0.200 , 0.040 
1993,,22,1,1,0," 11,981,347 "," 4,936,067,000 "," 7,721,870 ", 0.184 , 0.008 , 0.0045 , 0.0002 , 0.285 , 0.013 
1994,*,18,4,239,237," 12,292,356 "," 5,112,633,000 "," 7,824,802 ", 0.138 , 0.033 , 0.0033 , 0.0008 , 0.217 , 0.051 
1995,,30,1,160,160," 12,776,679 "," 5,328,969,000 "," 8,105,570 ", 0.235 , 0.008 , 0.0056 , 0.0002 , 0.370 , 0.012 
1996,,31,3,342,342," 12,971,676 "," 5,449,997,000 "," 7,851,298 ", 0.239 , 0.023 , 0.0057 , 0.0006 , 0.395 , 0.038 
1997,,43,3,3,2," 15,061,662 "," 6,339,432,000 "," 9,925,058 ", 0.285 , 0.020 , 0.0068 , 0.0005 , 0.433 , 0.030 
1998,,41,1,1,0," 15,921,447 "," 6,343,690,000 "," 10,535,196 ", 0.258 , 0.006 , 0.0065 , 0.0002 , 0.389 , 0.009 
1999,,40,2,12,11," 16,693,365 "," 6,689,327,000 "," 10,860,692 ", 0.240 , 0.012 , 0.0060 , 0.0003 , 0.368 , 0.018 
2000,,49,2,89,89," 17,478,519 "," 7,152,260,000 "," 11,053,826 ", 0.280 , 0.011 , 0.0069 , 0.0003 , 0.443 , 0.018 
2001,*,41,6,531,525," 17,157,858 "," 6,994,939,000 "," 10,632,880 ", 0.216 , 0.012 , 0.0053 , 0.0003 , 0.348 , 0.019 
2002,,34,0,0,0," 16,718,781 "," 6,927,954,000 "," 10,276,107 ", 0.203 , -   , 0.0049 , -   , 0.331 , -   
2003,,51,2,22,21," 16,887,756 "," 7,015,935,000 "," 10,227,924 ", 0.302 , 0.012 , 0.0073 , 0.0003 , 0.499 , 0.020 
2004,,23,1,13,13," 18,184,016 "," 7,604,248,000 "," 10,782,989 ", 0.126 , 0.005 , 0.0030 , 0.0001 , 0.213 , 0.009 
2005,32,34,3,22,20," 18,712,191 "," 7,843,717,000 "," 10,910,460 ", 0.182 , 0.016 , 0.0043 , 0.0004 , 0.312 , 0.027 
2006,32,26,2,50,49," 18,647,896 "," 7,851,864,000 "," 10,627,481 ", 0.139 , 0.011 , 0.0033 , 0.0003 , 0.245 , 0.019 
2007,32,26,0,0,0," 19,014,677 "," 8,024,313,000 "," 10,734,170 ", 0.137 , -   , 0.0032 , -   , 0.242 , -   
2008,32,20,0,0,0," 18,580,166 "," 7,813,371,000 "," 10,282,575 ", 0.108 , -   , 0.0026 , -   , 0.195 , -   
2009,32,26,1,50,49," 17,182,970 "," 7,248,702,000 "," 9,564,891 ", 0.151 , 0.006 , 0.0036 , 0.0001 , 0.272 , 0.010 
2010,32,28,0,0,0," 17,235,121 "," 7,352,374,000 "," 9,467,282 ", 0.162 , -   , 0.0038 , -   , 0.296 , -   
2011,32,28,0,0,0," 17,464,623 "," 7,473,520,000 "," 9,419,064 ", 0.160 , -   , 0.0037 , -   , 0.297 , -   
2012,32,27,0,0,0," 17,271,783 "," 7,443,365,000 "," 9,241,935 ", 0.156 , -   , 0.0036 , -   , 0.292 , -   
2013,32,19,0,0,0," 17,298,574 "," 7,469,229,000 "," 9,139,808 ", 0.110 , -   , 0.0025 , -   , 0.208 , -   
